class_0,class_1,class_2,class_3,class_4
41,46,50,44,51
44,43,39,39,49
56,52,45,43,51
61,45,44,44,48
44,34,55,63,56
59,42,44,45,40
49,43,41,47,51
53,45,58,54,52
53,50,52,48,39
41,47,54,44,57
45,50,42,46,50
47,56,46,49,50
44,46,56,48,49
51,47,44,53,52
46,51,44,41,37
47,55,49,42,36
47,38,47,59,46
47,44,49,46,48
39,41,39,48,37
50,49,50,59,49
45,44,46,42,50
36,48,51,49,50
47,47,47,54,61
49,50,43,53,53
40,49,50,44,48
50,53,49,51,43
48,42,47,45,49
56,41,50,54,44
50,48,50,54,45
48,41,44,46,52
38,48,41,46,51
50,58,60,43,48
59,42,52,61,48
50,46,37,44,54
45,43,56,32,49
61,45,49,49,62
51,43,47,52,45
46,40,52,52,56
50,44,47,49,47
45,46,55,46,49
42,44,50,41,47
46,46,45,51,55
56,58,48,56,49
47,46,44,41,54
48,48,51,53,49
53,48,50,47,46
42,50,51,58,47
53,46,63,52,55
41,52,50,49,48
44,63,56,50,53
51,54,45,49,43
46,46,42,51,43
42,50,36,52,52
39,43,48,45,47
57,49,36,56,45
45,45,47,42,49
48,52,50,43,55
46,47,48,54,51
50,51,39,55,59
41,57,44,53,56
50,51,49,47,48
45,54,51,46,53
50,49,55,45,52
51,43,42,52,46
44,54,56,48,46
50,55,55,53,58
46,36,46,48,43
52,49,57,52,48
57,44,44,56,56
47,42,47,51,50
53,58,40,54,50
50,52,57,49,45
48,56,51,57,44
48,48,48,46,46
41,58,43,50,58
52,54,45,56,48
40,42,45,48,50
48,46,49,54,44
44,51,46,50,43
49,47,45,34,48
51,57,47,58,46
46,50,49,42,54
45,59,48,41,40
51,41,42,51,47
43,53,58,49,44
53,43,46,43,49
50,51,50,47,53
49,39,40,49,48
54,50,46,45,48
56,43,38,44,41
41,52,40,43,48
39,40,49,42,45
46,53,55,48,48
40,43,47,46,37
48,37,53,47,51
48,46,44,41,46
46,40,48,53,50
53,48,42,48,56
50,43,55,46,54
45,46,53,52,47
