col1,col2,col3,col4,col5
67,93,99,18,84
58,87,98,97,48
74,33,47,97,26
84,79,37,97,81
69,50,56,68,3
85,40,67,85,48
62,49,8,100,93
53,98,86,95,28
35,98,77,41,4
70,65,76,35,59
11,23,78,19,16
28,31,53,71,27
81,7,15,76,55
72,2,44,59,56
26,51,85,57,50
13,19,82,2,52
45,49,57,92,50
87,4,68,12,22
90,99,4,12,4
95,7,10,88,15
84,71,13,55,28
39,18,62,75,100
100,66,48,17,6
87,47,16,60,41
26,46,50,1,36
30,2,84,69,31
8,94,61,66,77
68,45,52,8,89
71,14,29,64,85
37,97,41,89,64
59,78,9,79,7
66,95,71,41,75
77,77,26,8,14
45,2,42,79,57
88,64,98,4,18
89,88,70,98,51
3,19,47,46,58
36,19,92,47,55
74,82,63,68,12
27,93,76,11,4
46,59,60,24,26
28,58,4,100,79
86,60,49,57,88
88,5,70,57,61
10,67,34,70,10
80,29,67,11,4
49,4,24,92,56
35,38,50,88,86
26,18,59,67,46
11,9,97,26,100
68,66,8,71,100
98,40,83,93,39
6,10,41,69,88
22,90,51,37,45
93,100,84,82,62
15,79,24,63,29
81,25,16,50,81
85,91,5,22,33
40,2,99,83,91
36,59,39,2,53
18,46,23,54,90
75,1,36,84,95
72,40,88,84,79
30,20,38,2,6
82,36,78,26,98
94,71,59,30,82
22,17,31,56,81
31,13,91,84,17
93,39,99,8,38
15,1,97,3,38
48,63,62,15,62
82,38,95,20,59
7,91,72,78,79
71,97,52,98,4
1,78,95,38,53
84,3,99,97,15
3,92,91,33,83
56,33,31,4,96
92,80,92,79,22
31,60,85,32,71
97,8,78,62,89
96,28,66,17,91
2,8,38,20,64
21,90,31,84,70
15,57,1,90,29
66,22,61,29,9
41,21,55,96,96
40,26,48,77,3
96,33,97,42,77
43,70,4,64,70
51,67,91,84,18
20,30,74,52,23
47,3,50,9,19
36,40,27,92,72
72,82,21,13,27
62,40,53,80,40
9,27,81,3,56
53,4,40,52,56
65,78,72,71,30
25,39,80,75,25
